"n","a1","a2","a3","a4","a5","a6","b1"
21069,2,11,19,24,25,31,8
21070,5,5,13,20,23,28,13
21071,8,9,18,19,29,30,9
21072,6,7,13,19,20,21,10
21073,7,8,17,18,24,25,8
21074,4,11,17,19,20,24,11
21075,5,6,14,20,24,25,7
21076,5,7,11,19,23,28,14
21077,7,7,11,20,24,28,9
21078,1,11,12,18,24,30,7
21079,4,13,15,18,24,32,9
21080,6,7,13,16,21,30,7
21081,2,9,11,18,29,31,3
21082,4,8,11,21,25,29,10
21083,3,11,14,17,24,27,11
21084,6,11,17,19,21,29,11
21085,4,10,16,19,24,29,9
21086,4,11,13,20,20,24,9
21087,8,8,15,19,25,29,7
21088,4,7,14,18,23,26,7
21089,6,11,16,18,25,31,11
21090,6,9,12,19,22,31,10
21091,6,9,12,19,28,32,10
21092,2,7,18,18,24,30,6
21093,6,10,18,22,23,29,10
21094,7,11,11,21,26,30,10
21095,3,8,13,20,28,28,10
21096,5,10,12,17,24,27,11
21097,4,10,14,20,27,28,7
21098,3,11,12,17,25,29,9
21099,5,14,17,18,22,26,7
21100,4,6,16,21,25,30,10
21101,4,11,13,19,22,29,8
21102,5,6,12,19,25,31,9
21103,5,9,10,17,27,30,7
21104,3,6,13,21,26,30,6
21105,5,9,14,19,25,27,8
21106,5,6,17,21,29,29,2
21107,5,8,14,16,23,27,7
21108,6,7,12,20,24,29,3
21109,4,7,15,21,26,28,8
21110,5,9,11,22,26,27,8
21111,11,11,17,18,20,29,11
21112,5,15,16,20,23,28,11
21113,5,8,11,25,27,27,8
21114,7,8,17,20,22,31,5
21115,3,10,13,24,24,29,7
21116,3,10,14,19,24,28,6
21117,4,13,14,20,22,31,9
21118,5,12,16,23,25,30,7
21119,7,9,15,19,23,30,8
21120,5,10,15,16,25,26,8
21121,4,9,13,19,28,29,7
21122,7,8,14,19,22,29,7
21123,3,9,15,16,27,30,8
21124,2,9,15,16,25,28,9
21125,3,9,14,21,21,31,10
21126,3,7,11,21,25,27,7
21127,3,6,17,19,22,26,10
21128,2,13,17,18,26,29,7
21129,5,8,15,16,27,28,3
21130,3,10,16,21,26,30,8
21131,4,6,15,22,22,29,5
21132,3,9,15,17,21,26,9
21133,5,10,11,20,24,28,9
21134,3,12,16,19,23,28,5
21135,6,10,12,22,23,30,7
21136,7,14,14,21,22,29,8
21137,5,11,12,14,21,29,10
21138,2,9,10,20,22,31,7
21139,1,7,12,19,27,31,12
21140,9,10,14,17,27,29,9
21141,2,11,13,15,19,24,4
21142,4,11,15,20,27,30,5
21143,6,9,15,20,22,24,8
21144,5,9,13,22,26,29,10
21145,4,12,13,15,26,31,8
21146,6,8,14,19,26,29,5
21147,5,9,13,14,22,28,10
21148,7,8,11,13,22,30,6
21149,6,8,15,19,24,28,10
21150,3,9,13,19,25,30,10
21151,5,9,15,15,21,25,10
22002,8,10,11,19,24,26,10
22003,3,7,18,18,18,28,8
22004,4,8,12,20,28,28,5
22005,6,12,18,23,25,31,8
22006,7,9,12,22,27,28,8
22007,4,10,15,15,24,30,12
22008,5,9,14,21,26,30,10
22009,4,5,13,19,24,31,5
22010,6,10,12,19,25,28,8
22011,6,9,15,19,20,23,8
22012,4,8,13,23,23,27,7
22013,4,9,14,19,25,31,10
22014,5,10,12,20,24,29,8
22015,10,11,11,20,27,27,9
22016,3,9,15,20,25,25,6
22017,5,12,16,20,26,29,9
22018,5,6,16,19,24,29,9
22019,2,9,13,21,23,25,7
22020,3,9,13,17,22,30,9
22021,5,11,14,19,23,30,7
22022,5,9,13,21,24,26,5
22023,3,4,15,16,27,28,11
22024,5,9,13,15,25,30,9
22025,5,11,15,19,24,30,10
22026,5,9,14,20,21,27,7
22027,5,6,16,21,27,30,7
22028,4,9,11,20,21,28,8
22029,7,10,16,19,21,27,9
22030,6,10,15,16,27,29,10
22031,6,10,16,20,23,28,10
22032,6,9,13,20,26,28,9
22033,7,14,17,17,25,27,9
22034,8,12,14,21,24,30,8
22035,1,8,13,19,21,27,5
22036,4,6,16,20,26,27,8
22037,6,8,10,15,22,29,12
22038,6,11,15,16,26,28,5
