"n","a1","a2","a3","a4","a5","a6","b1"
11032,8,12,16,21,26,33,8
11033,5,9,12,20,28,31,9
11034,3,9,19,21,25,27,9
11035,9,12,13,19,20,27,10
11036,6,9,13,17,21,32,12
11037,3,8,12,20,24,30,9
11038,1,6,8,15,23,29,3
11039,9,15,21,22,26,28,6
11040,4,8,13,18,24,30,11
11041,6,13,15,19,26,27,7
11042,3,7,12,19,19,24,10
11043,7,10,22,23,25,28,12
11044,4,10,16,21,26,29,4
11045,3,8,8,15,19,28,4
11046,11,18,18,25,25,27,7
11047,7,11,14,22,26,29,11
11048,4,6,16,17,23,27,12
11049,2,4,12,19,26,33,7
11050,2,12,12,15,18,26,0
11051,5,12,22,24,30,31,8
11052,1,6,10,18,22,29,8
11053,8,10,19,30,31,32,7
11054,4,12,19,24,26,29,9
11055,3,8,12,14,20,28,6
11056,4,8,16,19,23,29,7
11057,5,8,19,21,26,30,9
11058,6,8,10,16,17,29,8
11059,7,11,11,15,18,18,13
11060,14,14,21,23,27,29,8
11061,3,7,9,16,18,26,10
11062,4,10,11,20,29,33,8
11063,4,10,14,19,29,31,9
11064,4,10,14,14,17,20,10
11065,5,12,19,23,25,29,8
11066,12,15,15,24,26,28,5
11067,2,4,10,22,23,28,9
11068,8,12,19,23,25,29,6
11069,2,6,14,16,21,26,10
11070,5,9,9,17,27,28,8
11071,2,8,16,17,24,31,6
11072,5,15,22,24,27,31,10
11073,4,8,13,23,26,29,7
11074,5,8,17,18,26,31,5
11075,3,8,12,17,18,24,4
11076,2,4,5,16,22,23,10
11077,6,7,10,15,15,28,4
11078,6,9,14,17,23,29,11
11079,3,10,19,23,30,31,6
11080,4,10,12,24,26,30,14
11081,3,7,13,23,26,29,11
11082,9,11,13,21,26,29,5
11083,2,3,17,23,24,26,6
11084,4,11,13,18,24,30,11
11085,4,9,13,20,24,30,8
11086,5,12,15,21,24,31,5
11087,7,14,18,20,27,27,8
11088,6,7,14,19,24,31,10
11089,3,9,10,19,29,32,3
11090,4,18,20,22,28,29,6
11091,2,5,13,17,21,29,7
11092,3,8,8,15,22,30,5
11093,5,13,15,15,25,28,10
11094,6,9,14,18,24,30,11
11095,5,10,15,25,28,31,6
11096,4,10,16,20,22,24,8
11097,5,5,10,13,21,27,9
11098,3,6,7,22,23,26,6
11099,2,5,5,17,20,28,4
11100,6,8,15,19,21,29,8
11101,6,11,12,13,20,27,9
11102,1,7,13,14,18,26,10
11103,7,13,18,26,30,33,8
11104,5,12,20,23,24,30,10
11105,6,10,19,22,26,31,5
11106,2,8,18,20,26,30,10
11107,5,17,18,20,28,33,7
11108,6,10,13,17,22,29,8
11109,5,7,15,19,27,28,9
11110,6,12,16,23,29,34,11
11111,2,4,13,17,21,25,10
11112,7,15,17,22,27,29,11
11113,5,6,7,15,22,24,6
11114,3,9,9,16,25,32,10
11115,6,8,14,20,25,30,8
11116,6,14,14,22,23,33,10
