"V1","V2","V3","V4","V5","V6","V7","V8"
"12089","1","7","9","16","24","29","7"
"12090","10","12","17","20","23","29","4"
"12091","4","8","15","21","24","32","12"
"12092","2","7","11","19","25","26","6"
"12093","6","12","16","25","27","32","8"
"12094","2","5","7","17","22","27","9"
"12095","0","12","17","28","28","32","10"
"12096","3","7","12","19","27","30","14"
"12097","4","9","10","16","25","27","12"
"12098","7","9","19","23","27","29","3"
"12099","5","11","17","22","27","31","8"
"12100","3","7","13","18","27","32","10"
"12101","9","9","15","23","23","27","6"
"12102","5","11","14","18","19","23","4"
"12103","5","11","15","19","20","31","7"
"12104","4","6","10","11","23","23","5"
"12105","0","4","7","20","20","27","8"
"12106","7","10","16","20","23","28","11"
"12107","7","10","15","18","27","32","11"
"12108","2","8","18","19","27","34","7"
"12109","5","10","13","16","24","26","5"
"12110","6","8","13","18","24","28","10"
"12111","0","6","19","23","26","27","13"
"12112","7","11","16","22","29","31","4"
"12113","5","11","15","20","22","28","8"
"12114","5","11","13","20","24","34","7"
"12115","7","13","17","18","25","31","7"
"12116","5","8","13","20","30","33","6"
"12117","11","16","17","25","32","32","9"
"12118","7","11","15","20","29","31","8"
"12119","4","9","20","22","26","28","8"
"12120","3","7","9","14","23","30","2"
"12121","6","8","15","19","23","29","5"
"12122","1","2","12","13","19","24","9"
"12123","4","5","8","16","26","29","12"
"12124","5","6","11","14","19","23","10"
"12125","6","15","15","22","25","30","2"
"12126","4","5","12","22","23","30","8"
"12127","6","13","16","27","27","32","7"
"12128","4","13","15","22","28","31","17"
"12129","10","13","13","18","25","27","5"
"12130","4","20","20","22","26","32","11"
"12131","10","13","18","24","26","29","4"
"12132","11","15","17","19","27","28","12"
"12133","7","12","20","23","26","33","5"
"12134","3","9","13","21","23","31","8"
"12135","4","5","10","21","22","25","14"
"12136","5","13","15","17","17","18","0"
"12137","5","8","14","20","26","26","12"
"12138","4","10","11","15","22","28","8"
"12139","5","6","8","19","20","29","4"
"12140","4","9","10","15","23","29","8"
"12141","6","11","13","22","23","25","13"
"12142","2","6","14","18","23","29","11"
"12143","9","11","19","20","24","28","9"
"12144","0","5","12","20","20","21","11"
"12145","7","14","16","20","23","27","3"
"12146","4","6","10","21","21","26","6"
"12147","2","7","12","22","28","29","8"
"12148","6","7","10","16","26","29","6"
"12149","5","13","14","22","24","125","7"
"12150","4","8","12","16","21","26","8"
"12151","9","17","23","27","30","31","4"
"12152","3","8","14","23","28","29","10"
"12153","2","6","18","19","30","32","4"
"12154","7","9","10","13","19","27","7"
"12155","1","2","8","16","17","28","8"
"13002","5","9","10","19","20","25","9"
"13003","12","14","15","21","21","23","15"
"13004","6","12","18","23","26","34","8"
"13005","3","9","18","18","20","31","11"
"13006","8","16","23","24","29","34","13"
"13007","6","11","11","20","23","30","13"
"13008","-1","4","9","13","22","23","9"
"13009","6","15","17","17","29","30","7"
