"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"18025","5","2","0","9","7","9","6","5","4","5","10","11","12","10","11","9","14","9","7","10","16","15","12","17","13","16","18","12","17","16","17","19","24","20","17","20","22","22","19","19","28","22","28","25","20","21","28","26","25","25","31","54","31","30","26","29","29","28","30","29","11","10","12","8","10","6","12","12","7","7"
"18026","1","3","5","4","6","7","3","2","5","3","6","10","8","8","10","10","10","6","7","5","8","15","8","10","18","13","19","13","16","11","19","19","17","15","24","19","20","15","19","18","21","26","28","18","32","27","24","19","26","23","26","30","29","21","32","30","33","26","31","30","6","7","14","11","9","8","12","6","8","6"
"18027","9","2","4","3","8","3","9","7","10","6","10","12","9","8","10","6","12","12","11","12","18","17","17","18","12","15","15","16","16","15","19","22","17","24","20","23","20","17","17","17","27","25","26","25","26","27","26","27","22","24","28","27","31","29","31","30","27","28","31","26","11","8","6","14","9","9","14","6","3","7"
"18028","2","4","6","4","6","4","4","5","1","9","6","7","15","8","10","9","10","9","9","10","12","10","20","15","13","14","11","11","14","18","23","19","23","22","15","20","23","20","23","23","29","22","27","25","27","25","24","24","23","25","32","23","32","33","28","28","28","29","30","28","9","9","11","9","8","13","7","11","11","9"
"18029","3","3","6","5","5","8","3","5","5","5","9","7","9","11","5","11","6","6","9","10","14","11","10","14","11","12","16","12","13","12","16","11","18","18","18","24","19","20","14","19","24","20","21","23","24","31","25","22","23","26","28","29","26","28","28","254","30","28","30","29","9","11","6","6","10","3","6","10","2","12"
"18030","2","12","3","4","1","3","4","0","2","4","8","12","10","7","12","10","10","14","8","7","16","20","19","13","15","13","15","14","9","9","21","21","22","22","20","22","22","19","16","22","27","27","23","23","25","23","24","27","23","24","30","29","30","31","27","25","31","27","31","29","7","7","5","13","7","7","9","9","5","7"
"18031","7","5","4","5","2","6","6","2","4","4","9","9","6","10","7","10","9","9","10","10","11","12","10","14","14","12","12","10","15","14","22","25","15","23","18","13","22","20","21","24","26","28","24","23","24","25","27","24","24","25","32","29","29","28","30","29","30","28","32","30","4","8","9","8","7","10","13","10","12","11"
"18032","7","3","5","8","3","2","4","5","2","9","7","8","11","10","10","8","8","7","12","11","11","11","12","13","11","10","16","14","17","19","16","20","21","20","16","20","17","20","21","20","27","28","23","22","26","26","25","21","25","20","29","29","28","28","28","30","31","29","31","28","13","10","8","4","10","9","10","7","4","4"
"18033","4","4","5","4","7","2","4","4","5","4","15","11","14","11","10","10","9","15","13","11","16","16","15","13","15","14","16","15","17","15","21","20","19","17","22","20","22","21","20","16","21","21","23","27","27","23","25","29","28","19","31","31","30","33","32","32","32","31","29","24","10","7","7","5","5","11","9","10","4","10"
"18034","2","4","3","8","6","4","6","4","3","7","5","12","14","9","10","6","10","4","11","8","19","14","15","10","18","7","15","11","16","15","20","17","20","21","19","25","19","19","20","22","24","24","21","28","25","25","19","22","25","29","29","24","29","29","29","34","28","26","28","32","8","9","12","10","11","10","8","9","8","11"
"18035","3","4","4","5","2","2","5","6","2","7","13","8","8","7","10","8","6","8","10","9","16","10","14","8","12","14","13","14","12","14","21","16","20","21","19","19","22","20","20","19","25","22","22","22","23","20","24","20","24","21","28","24","28","24","27","25","30","29","28","30","8","12","9","4","5","9","11","6","12","7"
"18036","5","4","3","5","1","2","1","5","3","6","5","9","14","10","11","7","13","13","5","14","12","14","17","14","12","12","17","17","11","16","22","18","24","20","16","21","19","18","15","20","23","25","25","25","26","22","25","26","26","25","24","28","33","29","27","26","29","32","27","26","5","5","2","6","11","10","4","13","8","11"
"18037","5","4","3","5","5","3","6","6","3","4","7","6","10","8","8","14","11","12","10","7","16","16","15","15","23","16","17","13","12","19","21","19","23","16","26","19","24","14","25","24","26","23","25","26","28","26","26","24","28","27","27","32","29","32","30","31","32","31","28","33","10","6","9","6","6","10","9","12","11","9"
"18038","5","5","6","5","5","3","8","6","5","5","7","6","7","7","8","11","10","8","7","8","11","11","16","11","15","12","12","11","14","18","19","20","22","19","16","21","15","13","17","20","23","20","23","23","21","22","22","23","22","26","27","30","28","27","30","28","29","28","29","28","6","11","9","6","10","7","11","10","4","5"
"18039","2","6","7","2","7","5","1","0","2","6","8","13","12","8","8","7","6","6","5","7","14","19","17","14","17","8","11","13","15","8","22","22","23","22","22","18","23","25","21","14","26","24","27","26","23","27","27","26","29","26","32","26","29","32","29","28","31","31","30","30","8","9","6","8","13","10","7","8","13","6"
"18040","5","10","2","5","5","4","3","8","3","7","14","11","9","14","5","6","7","12","6","9","18","13","15","18","16","15","12","13","17","17","22","15","18","22","24","24","17","20","22","18","28","27","26","28","25","28","26","27","28","25","28","29","29","28","31","30","26","30","32","28","11","5","11","11","10","11","8","8","10","10"
"18041","2","6","4","2","5","4","8","4","4","4","13","7","5","13","6","12","8","8","9","10","15","9","9","15","15","13","11","10","13","13","16","11","15","16","20","20","17","18","15","20","24","17","24","24","23","25","28","25","26","22","28","23","30","28","33","29","30","31","33","32","10","11","14","10","11","10","4","11","15","10"
"18042","4","10","4","4","4","2","6","5","4","5","13","11","9","13","7","11","11","12","12","13","21","12","14","21","17","21","12","17","17","14","21","21","20","21","24","23","20","20","19","17","23","25","23","23","24","24","26","24","24","27","30","32","26","30","31","28","28","27","32","28","10","12","5","10","9","7","7","7","1","3"
"18043","2","3","2","2","8","3","7","4","4","1","14","7","10","14","9","7","8","6","6","12","19","11","14","19","15","13","8","18","13","12","20","19","14","20","25","20","22","19","16","23","25","21","28","25","25","25","24","26","24","24","30","30","28","30","27","32","31","28","30","32","6","13","8","6","7","7","8","9","8","8"
"18044","8","4","4","8","5","7","1","4","6","6","9","5","11","9","5","10","8","8","11","11","14","5","11","14","9","17","13","16","18","12","19","16","11","19","16","22","14","18","23","13","23","21","25","23","22","24","29","24","25","25","29","29","29","29","30","30","29","27","34","30","10","12","5","10","8","9","5","6","6","12"
"18045","6","2","7","6","4","4","7","5","4","5","8","14","7","8","10","11","8","9","8","10","9","18","12","9","14","12","10","15","15","18","24","25","18","24","22","13","22","20","15","20","25","29","22","25","23","24","25","23","24","21","28","30","28","28","30","28","30","32","31","27","8","6","6","8","7","9","7","12","8","7"
"18046","4","3","0","4","6","3","4","7","5","4","9","11","9","14","12","10","8","7","7","10","14","21","14","18","14","11","17","13","18","16","23","22","16","20","21","17","21","19","23","18","23","23","30","20","26","23","24","23","23","23","30","31","31","28","29","28","26","24","24","30","7","7","5","10","11","8","8","1","7","4"
"18047","6","3","2","7","5","1","0","2","5","7","8","8","8","7","7","7","11","9","8","8","13","9","17","15","14","16","13","14","15","16","20","20","24","19","20","19","18","17","16","21","27","26","26","25","28","23","21","22","22","23","27","27","26","32","31","27","29","27","29","34","8","10","12","7","10","5","12","8","10","8"
"18048","4","5","2","4","2","2","8","3","4","1","12","8","9","6","9","9","9","10","8","5","15","11","12","9","11","15","16","11","16","17","16","20","17","22","15","25","18","19","22","19","26","24","24","24","25","26","26","20","25","23","29","27","29","28","28","30","27","22","31","29","9","6","6","11","7","11","10","7","9","7"
"18049","3","5","4","4","3","4","5","4","4","7","12","9","8","4","12","15","11","10","13","11","14","12","17","8","17","15","14","14","15","14","18","20","18","21","19","22","19","20","18","23","22","23","23","25","24","24","22","22","24","28","31","29","25","29","30","28","31","29","32","31","5","9","9","7","6","15","8","10","15","16"
"18050","3","3","4","3","4","6","5","2","7","5","9","7","6","13","4","7","8","5","14","8","12","16","11","19","11","16","15","17","14","12","19","20","13","19","15","17","18","20","21","17","20","21","25","21","16","24","25","24","23","24","28","28","29","23","27","26","30","31","27","28","6","7","8","14","13","5","6","10","11","10"
