"","n","a1","a2","a3","a4","a5","a6","b1","dsa","dsb"
"461",19002,4,5,6,8,9,18,11,-59,-4
"462",19003,13,17,20,21,22,27,1,70,-10
"463",19004,8,12,16,19,26,32,3,-7,2
"464",19005,21,22,26,28,31,32,7,47,4
"465",19006,1,5,10,19,26,28,12,-71,5
"466",19007,6,10,14,15,19,23,15,-2,3
"467",19008,2,6,9,13,28,32,12,3,-3
"468",19009,1,7,10,22,31,32,15,13,3
"469",19010,2,4,5,8,11,30,2,-43,-13
"470",19011,10,13,19,21,24,30,7,57,5
"471",19012,7,10,21,23,31,33,14,8,7
"472",19013,5,7,14,16,18,21,1,-44,-13
"473",19014,1,2,3,14,19,33,3,-9,2
"474",19015,11,15,16,20,24,31,4,45,1
"475",19016,5,7,9,11,19,25,5,-41,1
"476",19017,4,5,24,28,30,33,9,48,4
"477",19018,4,11,18,19,26,32,4,-14,-5
"478",19019,3,11,17,18,24,25,6,-12,2
"479",19020,2,12,13,23,27,28,12,7,6
"480",19021,2,5,7,8,20,27,4,-36,-8
"481",19022,3,7,11,21,30,33,7,36,3
"482",19023,1,10,14,15,18,31,13,-16,6
"483",19024,1,8,23,25,28,29,10,25,-3
"484",19025,15,16,21,27,30,33,4,28,-6
"485",19026,3,13,15,19,20,27,14,-45,10
"486",19027,2,6,8,10,11,17,13,-43,-1
"487",19028,4,19,22,26,29,30,11,76,-2
"488",19029,8,11,17,23,32,33,10,-6,-1
"489",19030,4,5,7,10,12,22,16,-64,6
"490",19031,3,13,15,18,21,33,16,43,0
"491",19032,4,8,9,13,28,33,4,-8,-12
"492",19033,9,15,19,21,23,29,15,21,11
"493",19034,9,11,15,22,24,26,3,-9,-12
"494",19035,1,5,7,9,10,20,16,-55,13
"495",19036,2,10,13,16,23,32,8,44,-8
"496",19037,1,7,12,14,18,25,10,-19,2
"497",19038,9,12,21,27,29,30,5,51,-5
"498",19039,6,7,11,14,27,32,8,-31,3
"499",19040,5,6,9,18,23,31,11,-5,3
"500",19041,2,9,13,23,24,26,16,5,5
"501",19042,15,17,19,22,25,26,4,27,-12
"502",19043,1,6,12,13,24,32,13,-36,9
"503",19044,6,14,16,17,23,29,7,17,-6
"504",19045,1,6,17,19,27,31,14,-4,7
"505",19046,2,12,16,22,25,32,6,8,-8
"506",19047,3,11,18,25,30,33,14,11,8
"507",19048,3,7,10,12,18,29,10,-41,-4
"508",19049,3,10,13,22,23,28,15,20,5
"509",19050,4,6,10,11,21,23,2,-24,-13
"510",19051,8,9,10,13,15,28,9,8,7
"511",19052,3,6,9,13,16,19,16,-17,7
"512",19053,4,16,22,25,29,31,8,61,-8
"513",19054,7,10,11,15,24,26,11,-34,3
"514",19055,1,6,11,15,19,31,10,-10,-1
"515",19056,13,14,17,19,21,29,1,30,-9
"516",19057,4,5,6,8,13,18,16,-59,15
"517",19058,7,8,12,21,23,27,12,44,-4
"518",19059,4,5,7,9,16,18,6,-39,-6
"519",19060,3,4,14,20,23,27,1,32,-5
"520",19061,3,17,19,24,27,31,12,30,11
"521",19062,7,13,16,23,26,30,1,-6,-11
"522",19063,1,14,19,22,29,31,16,1,15
"523",19064,12,20,24,25,30,33,12,28,-4
"524",19065,6,9,11,15,20,26,10,-57,-2
"525",19065,6,9,11,15,20,26,10,0,0
"526",19066,1,14,17,20,22,32,4,19,-6
"527",19067,4,6,8,11,30,33,11,-14,7
"528",19068,3,14,20,24,26,33,10,28,-1
"529",19069,6,11,16,19,21,25,1,-22,-9
"530",19070,6,15,18,19,24,32,9,16,8
"531",19071,1,8,19,24,29,30,4,-3,-5
"532",19072,2,9,13,15,22,30,15,-20,11
"533",19073,1,2,6,12,16,18,8,-36,-7
"534",19074,12,21,27,29,31,33,4,98,-4
"535",19075,5,8,20,22,31,33,3,-34,-1
"536",19076,12,15,19,20,29,32,14,8,11
"537",19077,9,11,13,18,21,22,15,-33,1
"538",19078,1,17,27,29,31,33,12,44,-3
"539",19079,1,3,6,9,19,31,16,-69,4
"540",19080,3,6,8,20,24,32,7,24,-9
"541",19081,5,24,27,29,31,32,10,55,3
"542",19082,7,16,19,22,24,28,2,-32,-8
"543",19083,6,15,17,26,28,31,3,7,1
"544",19084,4,8,14,18,20,27,3,-32,0
"545",19085,1,4,14,18,24,29,4,-1,1
"546",19086,16,22,24,26,28,31,6,57,2
"547",19087,4,5,7,9,21,30,4,-71,-2
"548",19088,13,14,15,21,23,29,13,39,9
"549",19089,2,4,14,16,20,22,11,-37,-2
"550",19090,2,3,6,8,14,22,4,-23,-7
"551",19091,7,10,21,24,29,32,11,68,7
"552",19092,9,17,27,28,32,33,8,23,-3
"553",19093,5,7,8,9,20,22,2,-75,-6
"554",19094,5,10,12,18,19,27,6,20,4
"555",19095,2,5,14,19,21,28,1,-2,-5
"556",19096,5,7,12,18,27,32,11,12,10
"557",19097,3,5,18,24,25,31,9,5,-2
