"n","a1","a2","a3","a4","a5","a6","b1"
20083,1,8,9,15,20,29,7
20084,6,10,16,20,26,26,11
20085,7,11,17,18,28,29,6
20086,6,12,16,21,23,28,8
20087,2,7,14,20,26,27,9
20088,5,9,12,14,24,26,10
20089,7,11,17,20,26,35,2
20090,16,18,19,21,28,33,14
20091,3,9,12,13,25,29,8
20092,10,11,11,18,27,28,11
20093,-1,6,6,14,21,28,9
20094,6,10,14,20,27,31,8
20095,5,10,15,21,26,30,4
20096,6,6,10,17,26,27,12
20097,7,11,12,19,21,28,7
20098,6,12,18,20,23,27,12
20099,5,8,12,18,23,26,13
20100,1,4,7,17,29,30,7
20101,4,10,13,16,27,29,3
20102,5,8,14,18,29,31,13
20103,2,10,16,22,26,31,10
20104,7,9,14,18,23,32,16
20105,6,9,15,22,25,30,12
20106,-1,8,11,18,28,31,11
20107,5,15,16,21,28,33,8
20108,4,10,14,21,22,28,8
20109,9,14,14,19,24,29,8
20110,8,12,14,22,24,30,9
20111,4,8,14,22,28,32,7
20112,5,10,14,21,27,30,8
20113,4,7,17,19,26,30,9
20114,4,11,18,19,25,29,8
20115,7,8,14,18,19,31,5
20116,1,8,14,21,28,30,11
20117,6,8,13,19,26,27,8
20118,4,8,15,22,28,29,3
20119,3,12,15,18,25,32,11
20120,4,6,15,19,20,26,11
20121,6,8,16,19,24,27,10
20122,7,10,12,19,28,28,8
20123,4,12,17,20,28,28,9
20124,4,12,12,20,29,30,12
20125,10,11,15,22,23,31,11
20126,3,7,12,14,22,26,12
20127,9,12,19,21,23,30,8
20128,4,7,12,15,23,27,13
20129,6,10,11,18,23,28,9
20130,5,6,13,16,25,27,6
20131,6,15,16,27,27,29,12
20132,2,6,12,22,32,33,8
20133,4,7,12,17,28,31,14
20134,7,9,14,16,21,31,4
20135,7,13,17,25,28,28,8
21002,9,13,16,21,24,29,7
21003,6,13,18,22,23,24,12
21004,7,11,13,17,21,29,9
21005,3,10,17,18,21,24,8
21006,4,8,12,22,22,30,3
21007,8,14,16,19,24,27,6
21008,4,8,13,14,18,23,10
21009,6,10,13,21,25,29,-3
21010,5,5,13,17,25,30,5
21011,4,7,17,21,25,30,9
21012,3,9,9,18,23,26,10
21013,6,11,15,18,22,22,10
21014,4,8,13,18,23,31,7
21015,3,5,12,17,24,31,10
21016,6,14,16,21,26,29,6
21017,3,10,11,17,22,34,11
21018,7,12,14,16,24,30,10
21019,4,9,12,13,21,21,12
21020,3,9,16,26,31,33,4
21021,4,10,12,15,19,27,6
21022,8,12,14,14,25,30,8
21023,2,7,9,16,22,30,10
21024,7,7,8,13,25,30,13
21025,10,12,17,24,25,33,12
21026,9,16,18,19,23,24,1
21027,4,8,15,20,26,31,2
21028,4,4,11,14,25,28,3
21029,8,13,20,23,24,25,10
21030,5,5,12,17,28,28,10
21031,5,10,10,13,16,27,7
21032,2,15,16,18,26,32,9
21033,7,10,16,23,28,30,10
21034,3,12,15,16,20,29,6
21035,5,5,13,19,23,30,7
21036,7,10,13,21,23,31,8
21037,3,9,11,16,21,26,7
21038,8,9,11,18,24,30,15
21039,4,10,17,19,26,31,8
21040,5,8,11,16,24,28,12
21041,4,11,16,24,24,30,10
21042,3,9,14,19,30,31,8
21043,4,9,13,20,20,29,12
21044,3,12,14,22,27,29,9
21045,6,8,14,17,22,26,13
21046,7,11,13,20,21,24,8
21047,8,10,18,23,28,30,6
21048,4,10,14,19,26,30,8
21049,6,12,15,24,26,31,12
21050,8,12,20,25,29,30,8
21051,1,9,17,24,25,29,9
21052,4,7,13,23,28,31,12
21053,1,20,21,21,32,32,5
21054,7,14,19,23,25,28,9
21055,7,10,14,15,18,27,13
21056,4,12,20,22,25,30,7
21057,3,12,16,17,22,27,2
21058,4,10,15,19,22,28,10
21059,3,10,13,18,23,26,13
21060,4,12,16,23,27,32,13
21061,2,13,14,23,26,27,9
21062,11,15,20,23,26,31,10
21063,1,7,12,18,29,31,10
21064,7,13,16,23,28,30,13
21065,0,10,13,19,26,29,12
21066,7,13,18,19,20,30,7
21067,5,10,10,17,26,30,11
21068,3,8,11,13,24,31,8
21069,3,9,12,15,17,29,7
21070,4,7,15,17,22,28,10
21071,3,8,15,18,23,30,11
21072,5,13,18,25,27,28,11
21073,8,10,15,25,26,30,6
21074,4,5,18,23,24,29,11
21075,8,11,16,18,21,26,9
21076,4,12,15,20,25,27,9
21077,7,14,22,24,29,29,6
21078,2,12,15,21,22,32,5
21079,5,10,17,20,24,31,7
21080,7,11,15,21,27,29,13
21081,5,13,18,24,26,31,8
21082,6,8,17,21,27,30,6
21083,3,9,17,24,27,32,6
21084,7,10,12,13,23,30,10
21085,6,9,16,27,28,32,9
21086,1,9,15,16,25,25,13
21087,8,12,20,21,21,26,8
21088,2,9,14,21,23,32,10
21089,8,14,16,19,19,30,13
21090,6,8,10,15,17,26,13
21091,2,10,14,22,28,31,7
21092,4,11,15,21,22,27,7
21093,6,14,21,23,24,27,0
21094,5,6,17,20,28,30,10
21095,6,10,21,23,23,24,8
21096,3,7,11,21,24,30,13
21097,7,11,17,22,24,29,7
21098,3,10,19,25,28,31,10
21099,5,15,16,24,24,29,7
21100,3,6,11,17,23,29,7
21101,2,15,15,19,22,25,12
21102,9,13,13,21,26,30,8
21103,1,8,11,14,24,28,7
21104,7,11,15,23,27,30,9
21105,6,8,11,18,28,31,9
21106,2,9,16,20,24,26,5
21107,6,12,16,18,27,29,10
21108,6,7,14,16,18,32,6
21109,3,8,9,18,19,26,7
21110,4,12,20,24,27,28,8
21111,9,9,11,12,18,26,6
21112,7,12,14,18,22,26,8
21113,2,13,18,19,27,27,5
21114,1,8,14,18,25,29,10
21115,8,11,17,20,24,29,12
21116,2,9,14,24,27,30,9
21117,7,9,10,15,20,31,11
21118,5,11,13,17,22,27,4
21119,4,6,12,22,26,29,6
21120,4,9,11,17,23,31,6
21121,3,6,13,19,25,30,6
21122,10,11,17,17,23,28,13
21123,5,9,14,22,25,27,9
21124,5,9,11,15,23,27,5
21125,2,6,10,18,24,28,5
21126,5,10,17,22,25,29,12
21127,4,14,20,24,24,33,12
21128,6,12,17,18,26,28,12
21129,5,9,14,15,26,27,6
21130,6,12,17,21,29,30,7
21131,3,9,10,17,19,30,14
21132,2,16,17,20,24,29,10
21133,6,13,17,23,27,27,10
21134,2,10,14,25,28,31,6
21135,6,11,14,19,29,29,11
21136,7,7,15,15,24,32,8
21137,6,7,10,17,25,30,7
21138,7,12,13,15,22,27,12
21139,5,13,14,19,23,27,13
21140,6,9,16,20,27,28,7
21141,6,14,18,22,25,30,3
21142,6,12,16,19,25,30,8
21143,6,10,17,21,24,31,9
21144,5,9,15,15,17,20,9
21145,4,5,6,16,23,28,0
21146,2,8,18,19,25,31,4
21147,3,6,11,16,21,29,11
21148,7,14,15,18,29,30,12
21149,0,12,12,19,28,30,10
21150,6,9,13,23,25,30,4
21151,4,9,20,23,26,29,5
22002,5,8,14,15,21,30,11
22003,3,8,12,17,22,29,13
22004,3,11,14,21,27,30,10
22005,-1,7,15,18,27,31,7
22006,4,9,21,24,30,36,8
22007,4,11,12,18,25,26,9
22008,7,12,16,19,27,29,12
22009,3,8,14,21,24,29,13
22010,3,7,15,16,25,28,6
22011,1,7,9,20,27,32,-6
22012,8,8,14,24,24,30,12
22013,3,5,8,19,23,32,6
22014,5,13,15,19,24,29,7
22015,9,13,18,23,28,30,0
22016,6,11,14,20,22,30,8
22017,7,8,13,21,27,29,8
22018,5,10,14,18,21,27,11
22019,4,9,18,22,25,34,13
22020,6,9,13,17,21,27,9
22021,4,11,11,17,24,27,7
22022,6,8,18,19,21,32,7
22023,4,12,15,21,26,33,11
22024,4,6,8,14,21,27,13
22025,2,8,14,21,26,27,12
22026,6,8,15,20,22,29,6
22027,4,6,12,17,20,26,13
22028,5,6,10,17,21,29,5
22029,7,8,15,19,25,30,7
22030,6,13,21,22,23,28,9
22031,6,12,13,19,25,28,4
22032,9,12,16,23,27,29,7
22033,6,6,7,17,24,30,15
22034,4,11,16,21,30,30,9
22035,8,13,17,23,27,31,13
22036,4,9,15,21,27,28,7
22037,7,11,11,12,19,26,14
22038,4,6,14,20,24,30,7
22039,6,8,9,17,24,26,6
